Job Title,Company Name,Location,Link
"Sr. Software Engineer
Sr. Software Engineer with verification",6sense,"San Francisco, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4207689424&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=QogfDWrl2W9rvbmGmXMLsA%3D%3D
"Senior Data Scientist
Senior Data Scientist",Abridge,"San Francisco, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4251973575&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=PYbD9C8UrY8LEUuqqG4b7Q%3D%3D&trackingId=AGSStoem3fgP3ZNGK6qszA%3D%3D
"Senior Data Analyst
Senior Data Analyst",Abridge,"San Francisco, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4251975134&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=k2dTYMVpK7aF11%2BHPEB6FA%3D%3D
"Staff Software Engineer, ML Data
Staff Software Engineer, ML Data with verification",Acubed,"Sunnyvale, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253200430&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=YNeO2FHIxaRDrQ7OyxA%2FKQ%3D%3D
"Product Data Analyst
Product Data Analyst with verification",Addepar,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4210974051&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=UfofKXTjbR5eDEe1on7DnQ%3D%3D
"Product Data Analyst
Product Data Analyst with verification",Addepar,"Mountain View, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4210967838&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=RyDVR2pUr%2F0yn9z9m001Ug%3D%3D
"Product Data Analyst
Product Data Analyst with verification",Addepar,San Francisco Bay Area,https://www.linkedin.com/jobs/search-results/?currentJobId=4210974050&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=ByLxhtEHAu%2BwMLPQ9gNHcw%3D%3D
"Senior Data Analyst (Bangkok Based, relocation provided)
Senior Data Analyst (Bangkok Based, relocation provided) with verification",Agoda,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4253246543&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=mxIKQ7sJN3IOj5UUq%2FAJRA%3D%3D
"Senior Software Engineer, Backend
Senior Software Engineer, Backend with verification",Altana,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4192468560&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=eTIPsn%2FnJ9r39jZpuPt0rg%3D%3D
"Analytics Engineer, People
Analytics Engineer, People",Anthropic,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4222852545&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=5xxmcVCM64%2FHz8xx%2FWV8tw%3D%3D
"Senior Scientist, Bioinformatics
Senior Scientist, Bioinformatics",Arc Institute,"Palo Alto, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4079675920&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=BNHYEUEedGaRni5gwfZTtQ%3D%3D
